"date","url","name","pre.for","pre.aga","pre.und","post.for","post.aga","post.und","for.to.for","for.to.aga","for.to.und","aga.to.for","aga.to.aga","aga.to.und","und.to.for","und.to.aga","und.to.for.1"
"03/01/2016","https://www.intelligencesquaredus.org/debates/free-speech-threatened-campus","Free Speech is Threatened on Campus",49,27,24,67,25,8,43,4,2,9,16,2,15,5,4
"02/03/2016","https://www.intelligencesquaredus.org/debates/lifespans-are-long-enough","Lifespans Are Long Enough",32,35,33,40,50,10,22,6,4,5,29,1,13,15,5
"01/13/2016","https://www.intelligencesquaredus.org/debates/us-should-let-100000-syrian-refugees","The US should let in 100000 Syrian Refugees",56,11,33,73,19,8,49,4,3,3,8,0,21,7,5
"12/23/2015","https://www.intelligencesquaredus.org/debates/equal-protection-clause-forbids-racial-preferences-state-university-admissions","The Equal Protection Clause Forbids Racial Preferences in University Admission",28,28,44,31,62,7,16,10,2,5,23,0,10,29,5
"11/18/2015","https://www.intelligencesquaredus.org/debates/central-banks-can-print-prosperity","Central Banks Can Print Prosperity",29,31,40,35,54,11,16,11,2,5,24,2,14,19,7
"11/10/2015","https://www.intelligencesquaredus.org/debates/us-prosecutors-have-too-much-power"," US Prosecutors Have Too Much Power",40,18,42,54,36,10,29,7,4,3,13,2,22,16,4
"11/02/2015","https://www.intelligencesquaredus.org/debates/college-students-should-be-allowed-take-smart-drugs","College Students Should be Allowed to Take Smart Drugs",27,44,29,59,33,8,25,1,1,14,27,3,20,5,4
"10/27/2015","https://www.intelligencesquaredus.org/debates/raise-federal-gas-tax-fund-infrastructure","Raise the Federal Gas Tax to Build Infrastructure",51,10,39,66,23,11,39,7,5,5,5,0,22,11,6
"09/16/2015","https://www.intelligencesquaredus.org/debates/courts-not-campuses-should-decide-sexual-assault-cases","Courts Not Campuses Should Decide Sexual Assault Cases",56,12,32,56,31,13,39,10,7,4,7,1,13,14,5
"09/09/2015","https://www.intelligencesquaredus.org/debates/containment-not-enough-isis-must-be-defeated","Containment is Not Enough ISIS must be Defeated",50,29,21,32,57,11,25,20,5,3,24,2,4,13,4
"06/02/2015","https://www.intelligencesquaredus.org/debates/equal-protection-clause-does-not-require-states-license-same-sex-marriages","The Equal Protection Clause Does Not Require States to License Same Sex Marriage",14,54,32,13,83,4,9,5,0,0,53,1,4,25,3
"05/04/2015","https://www.intelligencesquaredus.org/debates/obamas-iran-deal-good-america","Obama Iran Deal is Good for America",38,19,43,51,42,7,27,9,2,2,17,0,22,16,5
"05/13/2015","https://www.intelligencesquaredus.org/debates/smart-technology-making-us-dumb","Smart Technology is Making Us Dumb",36,33,31,46,43,11,26,6,4,8,23,2,12,14,5
