date, url, name
02/11/2015,https://www.intelligencesquaredus.org/debates/declinists-be-damned-bet-america,Declinists be Damned Bet on America
01/15/2015,https://www.intelligencesquaredus.org/debates/amazon-readers-friend,Amazon is the Readers Best Friend
12/04/2014,https://www.intelligencesquaredus.org/debates/genetically-modify-food,Genetically Modify Food
11/03/2014,https://www.intelligencesquaredus.org/debates/legalize-assisted-suicide,Legalize Assisted Suicide
10/22/2014,https://www.intelligencesquaredus.org/debates/income-inequality-impairs-american-dream-upward-mobility,Income Inequality Impairs The American Dream Of Upward Mobility
10/07/2014,https://www.intelligencesquaredus.org/debates/mass-collection-us-phone-records-violates-fourth-amendment,Mass Collection of U.S. Phone Records Violates the Fourth Amendment
09/30/2014,https://www.intelligencesquaredus.org/debates/flexing-americas-muscles-middle-east-will-make-things-worse,Flexing Americas Muscles In The Middle East Will Make Things Worse
09/09/2014,https://www.intelligencesquaredus.org/debates/embrace-common-core,Embrace the Common Core
06/24/2014,https://www.intelligencesquaredus.org/debates/individuals-and-organizations-have-constitutional-right-unlimited-spending-their-own,Individuals and organizations have a constitutional right to unlimited spending on their own political speech
05/07/2014,https://www.intelligencesquaredus.org/debates/death-not-final,Death is not Final
04/11/2014,https://www.intelligencesquaredus.org/debates/millennials-dont-stand-chance, Millenials Don’t Stand a Chance
04/02/2014,https://www.intelligencesquaredus.org/debates/more-clicks-fewer-bricks-lecture-hall-obsolete,The Lecture Doesn’t Stand a Chance
03/12/2014,https://www.intelligencesquaredus.org/debates/russia-marginal-power,Russia is a Marginal Power
03/05/2014,https://www.intelligencesquaredus.org/debates/president-has-constitutional-power-target-and-kill-us-citizens-abroad,The President Has Constitutional Power To Target And Kill U.S. Citizens Abroad
02/27/2014,https://www.intelligencesquaredus.org/debates/affirmative-action-campus-does-more-harm-good,Affirmative Action does more Harm than Good
02/12/2014,https://www.intelligencesquaredus.org/debates/snowden-was-justified,Snowden Was justified
01/15/2014,https://www.intelligencesquaredus.org/debates/obamacare-now-beyond-rescue,Obamacare is Now Beyond Rescue
12/04/2013,https://www.intelligencesquaredus.org/debates/dont-eat-anything-face,Dont Eat Anything with a Face
